ID,Business (DM),Website,Account Industry Vertical,P&L Region
5073,Aviva Italy,https://www.guidewire.com/customers/aviva-italy,Insurance,Southern Europe
697,AVL,https://www.avl.com/,Manufacturing,Northern and Central Europe
2433,Avnet,http://www.avnet.com/,CME & Tech,Asia
2041,AVON,https://www.avon.com/,Consumer Industries & Retail,Americas
2441,Avrist,http://www.avrist.com/,Insurance,Asia
3363,AWE,https://www.awe.co.uk/,Public Sector,UKIIMEA
4804,AWI Corporation,https://www.awimc.com/,Manufacturing,UKIIMEA
3974,AXA,https://www.axa.fr/,,Southern Europe
3510,AXA Assicurazioni,https://www.axa.it,Insurance,Southern Europe
3246,AXA Equitable Life Insurance Company,https://us.axa.com/,Insurance,Americas
3577,AXA Mediterranean Services AEIE,https://www.axa.es/,,Southern Europe
5303,"AXA Seguros, S.A. de C.V.",https://axa.mx/,Insurance,Americas
1932,AXA Technology Services UK,http://www.axa.co.uk/,Insurance,UKIIMEA
5304,AXISMED Gestao Preventia de Saude SA,https://www.portalaxismed.com.br/,Healthcare & Life Sciences,Americas
313,Axis-Shield,http://www.axis-shield.com/,Healthcare & Life Sciences,Northern and Central Europe
4972,Axsome Therapeutics Inc,https://axsome.com/,Healthcare & Life Sciences,Americas
688,Ayuntamiento de Gijon,http://www.gijon.es/,Public Sector,Southern Europe
3938,Azienda Policlinico Umberto I,http://www.policlinicoumberto1.it/,,Southern Europe
3939,B Braun Medical,https://www.bbraun.com/en.html,,Southern Europe
1818,B&Q,http://www.bnq.com.cn/,Consumer Industries & Retail,Asia
2428,Bacardi Martini Asia Pacific,http://www.bacardilimited.com/,,Asia
1982,BAE Systems,http://www.baesystems.com/,Manufacturing,UKIIMEA
3993,BAE Systems Australia,https://www.baesystems.com/en-aus/home,Manufacturing,ANZ
4517,BAE Systems KSA,https://www.baesystems.com/en-uk/home,Manufacturing,UKIIMEA
4493,BAE Systems MA&I,https://www.baesystems.com/en/home,Manufacturing,UKIIMEA
2675,Bajaj Auto,https://www.bajajauto.com/,Manufacturing,Asia
4807,Bajaj Finance,https://www.bajajfinserv.in/,Banking & Capital Markets,Asia
2591,Baker & Taylor,http://www.baker-taylor.com/,Travel & Transportation,Americas
